all_sexual_offences, fraud_and_misappropriation, lga_name, state_code, lga_code, all_robbery_and_extortion_offences
163.0,444.0,"Adelaide (C)","4",40070.0,220.0
9.0,5.0,"Ceduna (DC)","4",41010.0,0.0
100.0,320.0,"Charles Sturt (C)","4",41060.0,96.0
10.0,4.0,"Clare and Gilbert Valleys (DC)","4",41140.0,2.0
0.0,1.0,"Cleve (DC)","4",41190.0,0.0
7.0,0.0,"Coober Pedy (DC)","4",41330.0,0.0
11.0,8.0,"Copper Coast (DC)","4",41560.0,2.0
4.0,0.0,"Elliston (DC)","4",41750.0,0.0
3.0,0.0,"Flinders Ranges (DC)","4",41830.0,0.0
1.0,0.0,"Franklin Harbour (DC)","4",41960.0,0.0
23.0,28.0,"Gawler (T)","4",42030.0,9.0
19.0,28.0,"Adelaide Hills (DC)","4",40120.0,3.0
1.0,2.0,"Goyder (DC)","4",42110.0,0.0
6.0,5.0,"Grant (DC)","4",42250.0,0.0
55.0,72.0,"Holdfast Bay (C)","4",42600.0,27.0
1.0,1.0,"Kangaroo Island (DC)","4",42750.0,1.0
4.0,0.0,"Karoonda East Murray (DC)","4",43080.0,0.0
0.0,1.0,"Kimba (DC)","4",43220.0,0.0
3.0,2.0,"Kingston (DC)","4",43360.0,0.0
9.0,6.0,"Light (RegC)","4",43650.0,0.0
1.0,3.0,"Lower Eyre Peninsula (DC)","4",43710.0,1.0
28.0,6.0,"Loxton Waikerie (DC)","4",43790.0,0.0
11.0,16.0,"Alexandrina (DC)","4",40220.0,1.0
7.0,4.0,"Mallala (DC)","4",43920.0,0.0
96.0,189.0,"Marion (C)","4",44060.0,56.0
9.0,9.0,"Mid Murray (DC)","4",44210.0,0.0
45.0,73.0,"Mitcham (C)","4",44340.0,25.0
27.0,31.0,"Mount Barker (DC)","4",44550.0,4.0
40.0,69.0,"Mount Gambier (C)","4",44620.0,13.0
1.0,3.0,"Mount Remarkable (DC)","4",44830.0,0.0
37.0,44.0,"Murray Bridge (RC)","4",45040.0,18.0
11.0,5.0,"Naracoorte and Lucindale (DC)","4",45090.0,0.0
2.0,0.0,"Northern Areas (DC)","4",45120.0,0.0
7.0,6.0,"Anangu Pitjantjatjara (AC)","4",40250.0,0.0
29.0,73.0,"Norwood Payneham St Peters (C)","4",45290.0,23.0
161.0,280.0,"Onkaparinga (C)","4",45340.0,81.0
0.0,0.0,"Orroroo/Carrieton (DC)","4",45400.0,0.0
4.0,0.0,"Peterborough (DC)","4",45540.0,0.0
176.0,149.0,"Playford (C)","4",45680.0,126.0
151.0,248.0,"Port Adelaide Enfield (C)","4",45890.0,128.0
29.0,22.0,"Port Augusta (C)","4",46090.0,7.0
17.0,22.0,"Port Lincoln (C)","4",46300.0,7.0
16.0,10.0,"Port Pirie City and Dists (M)","4",46450.0,4.0
20.0,41.0,"Prospect (C)","4",46510.0,16.0
17.0,9.0,"Barossa (DC)","4",40310.0,2.0
11.0,4.0,"Renmark Paringa (DC)","4",46670.0,2.0
0.0,0.0,"Robe (DC)","4",46860.0,0.0
5.0,4.0,"Roxby Downs (M)","4",46970.0,1.0
164.0,307.0,"Salisbury (C)","4",47140.0,184.0
2.0,2.0,"Southern Mallee (DC)","4",47290.0,0.0
1.0,0.0,"Streaky Bay (DC)","4",47490.0,0.0
6.0,7.0,"Tatiara (DC)","4",47630.0,0.0
47.0,171.0,"Tea Tree Gully (C)","4",47700.0,38.0
19.0,6.0,"The Coorong (DC)","4",47800.0,1.0
0.0,0.0,"Tumby Bay (DC)","4",47910.0,0.0
2.0,2.0,"Barunga West (DC)","4",40430.0,1.0
40.0,67.0,"Unley (C)","4",47980.0,11.0
13.0,12.0,"Victor Harbor (C)","4",48050.0,1.0
7.0,2.0,"Wakefield (DC)","4",48130.0,1.0
10.0,10.0,"Walkerville (M)","4",48260.0,4.0
7.0,10.0,"Wattle Range (DC)","4",48340.0,0.0
56.0,143.0,"West Torrens (C)","4",48410.0,31.0
28.0,31.0,"Whyalla (C)","4",48540.0,5.0
5.0,3.0,"Yankalilla (DC)","4",48750.0,1.0
6.0,8.0,"Yorke Peninsula (DC)","4",48830.0,2.0
13.0,16.0,"Berri and Barmera (DC)","4",40520.0,4.0
2.0,8.0,"Unincorporated SA","4",49399.0,0.0
17.0,43.0,"Burnside (C)","4",40700.0,12.0
51.0,52.0,"Campbelltown (C)","4",40910.0,26.0
